ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
emmares,EMA,1632240,28564200,5/5/2018,9/30/2018,2018q2,148,Hong Kong,"Businessservices,Cryptocurrency,Internet,Media,Platform",1,3.7,24,1,kyc&whitelist,14,0.51,1," USA, China",0,1,1,2365000
x-power,XPO,440980,4145212,10/3/2018,2/28/2019,2018q4,148,Singapore,"BigData,Businessservices,Media,Platform,SmartContract,Software,VirtualReality",1,3.2,0,0,kyc,4,0.1,1," USA, China.",0,1,0,5000000
gaxcoin,GAX,2500000,5000000,8/11/2018,1/6/2019,2018q3,148,Cayman Islands,Platform,1,2.1,0,0,0,12,,,,0,1,0,2400000
plaza-systems,PLAZA,1111100,22222000,10/4/2018,2/28/2019,2018q4,147,Singapore,"ArtificialIntelligence,Communication,Cryptocurrency,Retail",1,3.3,9,1,kyc&whitelist,6,0.65,1," USA, China",0,1,0,7608720
ubcoin-market,UBC,772840,21200000,4/2/2018,8/27/2018,2018q2,147,United Arab Emirates,Platform,1,3.6,6,1,0,6,0.5,,,0,1,1,19110000
buzcoin,BUZ,8000000,210000000,8/1/2018,12/25/2018,2018q3,146,Russia,"Platform,Media,Communication,Other,Realestate,Retail",1,1.8,12,1,0,9,0.75,,,0,1,0,227000
greencoin,GNC,1220300,7321800,1/15/2019,6/10/2019,2019q1,146,USA,"Cryptocurrency,Energy,Platform,SmartContract",1,3.3,0,0,kyc&whitelist,8,0.6,1," USA, Singapore",0,1,0,6632010
kepler-token,KEP,5000000,15000000,6/29/2018,11/21/2018,2018q2,145,Georgia,"Platform,Electronics,Education,ArtificialIntelligence,Software",1,4.4,30,1,kyc&whitelist,,,,,0,1,0,13700000
cryptoindex,CIX100,3000000,37000000,10/17/2018,3/10/2019,2018q4,144,Malta,"ArtificialIntelligence,Cryptocurrency,Platform",1,3.9,13,1,kyc&whitelist,10,1,0," Afghanistan, Bosnia and Herzegovina, Peopleâ€™s Republic of China, Japan, Guyana, Iran, Iraq, Lao PDR, North Korea, Syria, Uganda, United States, Vanuatu, and Yemen",0,1,0,11037891
taklimakan-network,TKLN,5000000,27500000,4/9/2018,8/31/2018,2018q2,144,Singapore,"Investment,Education,Cryptocurrency,Businessservices,Platform",1,3.6,6,1,kyc,16,0.55,1," USA, Singapore",0,1,1,3316000
medk-medical-cannabis,MedK,147000,35000000,6/10/2019,11/1/2019,2019q2,144,UK,"Legal,Infrastructure,Health,Businessservices,Other",1,3.2,0,1,kyc&whitelist,7,0.6,,,1,1,1,12600000
hedpay,HDP,11917000,95336000,7/9/2018,11/30/2018,2018q3,144,UK,"Cryptocurrency,Banking,Investment,Platform",1,2.9,0,1,kyc&whitelist,8,0.45,0, None,1,1,0,440000
mycryptobank,MCB,3000000,100000000,9/11/2018,1/31/2019,2018q3,142,Estonia,"Banking,Businessservices,Infrastructure",0,4.1,10,1,kyc,21,0.65,1, USA,0,1,0,3000000
opu-labs,OPU,2000000,20000000,8/1/2018,12/20/2018,2018q3,141,British Virgin Islands,"BigData,ArtificialIntelligence,Cryptocurrency,Health,Other,Platform,Retail,Software",1,3.8,11,1,kyc&whitelist,23,0.5,0," Japan, Cuba, Iran, North Korea, Syria, Crimea Region.",0,1,0,2000000
cubomania,CUBO,,25892379,5/11/2018,9/28/2018,2018q2,140,Ukraine,Education,1,4,4,0,kyc,16,0.51,,,0,1,1,796282
galactikka,GALA,1814079,11895600,10/9/2017,2/26/2018,2017q4,140,Russia,"Communication,Platform",1,2.3,1,0,0,6,,,,0,1,1,1873
moover,MOVE,5000000,50000000,12/1/2017,4/20/2018,2017q4,140,India,"Platform,Businessservices",1,1.9,4,1,0,6,0.462,,,0,1,0,50918694
efir,QZ,913187.5,10958250,5/14/2018,9/30/2018,2018q2,139,Russia,"Internet,Entertainment",1,3.9,0,1,kyc,8,0.6,0, Russia,0,1,1,317668
vrt,VRT,3430000,16000000,3/14/2018,7/31/2018,2018q1,139,Russia,"Realestate,Platform,Media,Investment,Entertainment,Education,VirtualReality",1,4.4,29,1,0,13,0.75,,,0,1,0,2402311
aen,AENT,500000,35000000,10/13/2018,2/28/2019,2018q4,138,Netherlands,"Entertainment,Media",1,2.8,6,1,kyc,23,0.82,0, None,1,1,0,5970000
blupass-ico,BLU Token,500000,25000000,5/15/2018,9/30/2018,2018q2,138,USA,"Communication,Banking,Health,Infrastructure,Platform,Software",1,3.5,1,1,kyc&whitelist,,0.6,,,0,1,1,500000
craftr,CRAFTR,179940,2249250,7/15/2018,11/30/2018,2018q3,138,Switzerland,"Art,Businessservices,Media,Platform",1,3.7,0,0,0,4,0.62,0, China,0,1,0,45908
loyakk,LYK,,28000000,6/15/2018,10/31/2018,2018q2,138,UK,Platform,1,4.2,10,1,whitelist,,0.34,,,0,1,1,16200000
vertex,VTEX,3000000,18000000,10/1/2018,2/15/2019,2018q4,137,Cayman Islands,"Businessservices,Cryptocurrency,Platform",1,4.1,12,0,kyc&whitelist,12,0.6,1," USA, China",0,1,0,3000000
hirematch,HIRE,,13144560,10/1/2017,2/15/2018,2017q4,137,USA,Businessservices,1,3.3,6,0,0,4,0.78,,,0,1,0,1610741
moolyacoin,MOOLYA,3000000,25000000,9/1/2018,1/15/2019,2018q3,136,Estonia,"Cryptocurrency,Businessservices,Investment,Other,Platform,SmartContract",1,4.5,8,1,kyc&whitelist,12,0.48,1," USA, China",1,1,0,25000000
centex,CNTX,231918.75,2040885,6/18/2019,11/1/2019,2019q2,136,UK,"Platform,Cryptocurrency,Investment",1,1.8,0,0,0,1,0.7,,,0,1,0,265936
storecoin,STORE,,,4/17/2019,8/30/2019,2019q2,135,USA,"BigData,Cryptocurrency,Infrastructure,Platform,Software",0,2.7,0,0,kyc&whitelist,11,0.46,1, USA,0,0,0,3500000
greenhashes,GH,,,5/18/2018,9/30/2018,2018q2,135,India,"Energy,Cryptocurrency",0,2.4,0,0,0,8,,,,0,1,1,300000
jibbit,JIB,1000000,3000000,11/1/2018,3/15/2019,2018q4,134,Germany,"Cryptocurrency,Health,Platform",1,4.1,5,1,kyc&whitelist,23,0.6,1," USA, Canada, China",0,1,0,920000
authoreon,AUN,,34000000,8/19/2017,12/31/2017,2017q3,134,Germany,"Art,Businessservices,Cryptocurrency,Manufacturing,Other,Platform,Retail,SmartContract,Software",1,2.9,3,0,0,8,0.33,,,1,1,0,1500000
ternion,TRN,5000000,30000000,10/1/2018,2/11/2019,2018q4,133,Estonia,"Banking,Businessservices,Cryptocurrency,Internet,Investment,Platform",1,3.7,21,1,kyc&whitelist,,0.8,1," China, Singapore, USA",0,1,0,1906000
coinhealth,CoinHealth,6000000,305000000,12/10/2017,4/22/2018,2017q4,133,USA,"Health,Platform",1,3.5,7,0,0,8,0.46,,,1,1,0,7000000
ubex,UBEX,2796880,20137536,5/21/2018,9/30/2018,2018q2,132,Switzerland,ArtificialIntelligence,1,4,13,1,kyc,32,0.72,1," USA, North Korea, Iran",0,1,0,6800000
intro,ITR,3000000,15000000,6/1/2018,10/11/2018,2018q2,132,Estonia,"Internet,Businessservices,BigData,ArtificialIntelligence,Investment,Platform,Realestate,SmartContract",1,4.5,34,1,kyc,10,,0, Vietnam,1,1,1,278000
axens,AXS,5000000,18000000,5/21/2018,9/30/2018,2018q2,132,Panama,"Businessservices,SmartContract",0,3,0,1,kyc&whitelist,8,0.65,1," USA, China",1,1,0,5000000
vr-platform-oko,OKOIN,,80000000,12/14/2017,4/25/2018,2017q4,132,Czech Republic,"Platform,Media,Entertainment,VirtualReality",1,2.5,2,1,0,,0.35,,,0,1,0,80000000
batt,BATT,205140,6842649.84,6/11/2018,10/21/2018,2018q2,132,Ukraine,"Businessservices,Platform,SmartContract",1,3.7,0,1,kyc,11,0.9,1,USA,0,1,1,105814
fissacoin,FSC,1236100,2472200,2/15/2018,6/25/2018,2018q1,130,Netherlands,"Entertainment,Cryptocurrency,Businessservices,Tourism",0,3.2,3,0,kyc,4,0.25,,,1,1,0,1710000
xmoneta,XMN,138550,2216800,8/23/2018,12/31/2018,2018q3,130,Latvia,"Banking,Businessservices,Charity,Communication",1,3.5,0,1,kyc&whitelist,12,0.25,1, USA,1,1,0,200000
terragreen,TGN,5000000,11000000,1/21/2019,5/30/2019,2019q1,129,Malaysia,Energy,0,4.4,12,1,kyc,13,0.4,1," USA, China",0,1,0,6724000
godbex,GBE,20500000,91250000,9/24/2018,1/31/2019,2018q3,129,UK,"Banking,Cryptocurrency,Platform",1,3,0,0,kyc,14,0.73,,,0,1,0,17320000
igt,IGTT,1000000,12600000,8/23/2018,12/29/2018,2018q3,128,Ireland,Cryptocurrency,1,4.2,23,0,kyc&whitelist,12,0.6,,,0,1,0,1399000
bitsong,BTSG,1336720,2339260,8/10/2018,12/15/2018,2018q3,127,Malta,Entertainment,1,4.1,9,0,kyc&whitelist,18,0.5,1, USA,0,1,0,380000
krios,KRI,,,1/8/2018,5/15/2018,2018q1,127,Belize,"Platform,Businessservices,Internet",1,3,1,0,0,16,0.77,,,0,1,1,20000000
ulticoin,ULTI,2160000,33834000,12/15/2019,4/20/2020,2019q4,127,Serbia,"Cryptocurrency,Entertainment,Platform,Software",1,3.8,3,1,kyc,8,0.75,,,1,1,1,360302
aligatocoin,ALC Token,1000000,70000000,7/29/2018,12/1/2018,2018q3,125,UK,"Internet,Electronics,Education,Cryptocurrency,Businessservices,ArtificialIntelligence,Other,Platform",1,3.9,5,0,kyc,13,0.7,1," USA, China",1,1,0,7720000
origin-protocol,Origin Token,,,6/28/2018,10/31/2018,2018q2,125,USA,"Platform,Internet,SmartContract,Software",1,3.8,10,0,0,21,0,,,0,1,0,28000000
kala-token,KALA,,,11/27/2017,3/31/2018,2017q4,124,USA,"Businessservices,Cryptocurrency,Communication",1,2,0,0,0,7,0.64,,,0,1,0,7500000
bityond,BYT,14177.4,283548,5/15/2018,9/15/2018,2018q2,123,Portugal,"Communication,Cryptocurrency,Internet,Platform,SmartContract,Software",1,3.4,6,0,kyc,6,0.4,,,0,1,0,8350
mcart-protocol,mCart,1000000,21956750,2/27/2018,6/30/2018,2018q1,123,USA,"Cryptocurrency,Retail,SmartContract",1,4,2,1,kyc&whitelist,13,0.4,0," China, Cuba, Iran, North Korea, South Korea, Syria, Crimea",0,1,0,4100000
pindex,PINDEX,,314800000,10/20/2017,2/20/2018,2017q4,123,Luxembourg,"Media,Entertainment",1,3.2,0,1,0,13,,1," USA, China",0,1,0,2000000
kyc-legal,KYC,10000000,35000000,11/29/2017,4/1/2018,2017q4,123,Russia,Businessservices,1,3.9,24,0,0,7,0.8,,,1,1,0,28000000
the-deal-coin,DLSD,5000000,50000000,3/26/2018,7/27/2018,2018q1,123,UK,"Banking,Investment,Legal,SmartContract",0,2.9,1,1,kyc&whitelist,17,0.65,1," USA, China",0,1,0,17640141
directhome,DIREC,3000000,30000000,5/15/2018,9/15/2018,2018q2,123,Singapore,,1,2.8,0,1,kyc&whitelist,6,0.5,0," Democratic Republic of Korea, Democratic Republic of the Congo, Eritrea, Iran, Libya, Somalia, South Sudan, Sudan, Yemen.",0,1,1,3000001
alehub,ALE,6197651.33,27268815.37,7/25/2018,11/24/2018,2018q3,122,Hong Kong,"Businessservices,Platform,Software",1,3.7,3,1,kyc&whitelist,20,0.77,1," USA, China",0,1,1,4681068
eternal-trusts,ETT Token,7000000,27000000,6/1/2018,10/1/2018,2018q2,122,Singapore,"Banking,ArtificialIntelligence,Cryptocurrency,Legal,Platform,SmartContract",0,4.5,19,1,kyc&whitelist,9,0.65,,,0,1,1,6195576
muxe,MUXE,650000,15500000,6/5/2018,10/5/2018,2018q2,122,Netherlands,"Software,SmartContract,Realestate,Platform,Investment,Internet,Electronics,Cryptocurrency,Communication,Businessservices,ArtificialIntelligence,VirtualReality",1,3.3,0,0,0,21,0.7,1," USA, China, North Korea, Somalia, Yemen, Syria, Iran, Singapore",1,1,1,650000
iuno,IUNIT,3000000,55360500,7/17/2018,11/16/2018,2018q3,122,Germany,"Banking,Platform",1,2.9,0,0,0,4,0.3683,,,1,1,0,3000000
jcash,JCASH,3800000,44800000,7/10/2018,11/9/2018,2018q3,122,Singapore,"Communication,Entertainment,Media,Platform,Retail",1,2.8,0,1,kyc&whitelist,17,0.112,1," USA, China",0,1,0,4507000
nevix,NVX,,,6/8/2019,10/8/2019,2019q2,122,Indonesia,"Art,Businessservices,Cryptocurrency,Electronics,Entertainment,Investment,Media,Platform,SmartContract",0,2.8,0,0,kyc,10,,,,0,1,0,4513500
athero,THO,18000000,56000000,9/20/2018,1/20/2019,2018q3,122,Cayman Islands,"Platform,Businessservices",1,2.6,0,1,kyc,7,0.7,,,0,1,0,19957618
u-cash,,,,9/8/2017,1/8/2018,2017q3,122,Canada,Banking,1,1.8,2,0,0,,,,,0,0,0,113656873
gigtricks,GBTC,2500000,35000000,9/1/2018,12/31/2018,2018q3,121,Gibraltar,"Retail,Platform,Other,Internet,Education,Cryptocurrency,Businessservices,BigData,ArtificialIntelligence,SmartContract",1,4.2,42,1,kyc,13,0.25,1," USA, China, South Africa",1,1,1,2800000
highbank,HIGH,5000000,40000000,3/1/2019,6/30/2019,2019q1,121,British Virgin Islands,Platform,1,3.8,1,0,kyc,14,0.4,1, USA,0,1,1,5000000
dylyver,Dycoin,2000000,20000000,9/1/2018,12/31/2018,2018q3,121,Hungary,"Platform,Businessservices",1,3.7,0,1,kyc,8,0.4,,,1,1,1,8100000
mira,MIRA,5000000,20000000,9/1/2018,12/31/2018,2018q3,121,Singapore,"Infrastructure,Cryptocurrency,Businessservices,Platform,SmartContract,Software",0,3.3,11,1,0,11,0.78,,,0,1,1,1980000
review-network-ico,REW,3340800,25056000,6/1/2019,9/30/2019,2019q2,121,Cyprus,"Communication,Businessservices,ArtificialIntelligence,Platform",1,3.4,20,1,kyc,6,0.6,1," USA, Puerto Rico, South Korea, China",0,1,1,1500000
aeryus,AER,1476700,29534000,9/1/2018,12/31/2018,2018q3,121,USA,"ArtificialIntelligence,Businessservices,Cryptocurrency,Platform,Retail,SmartContract,Software",1,3.9,1,1,kyc,12,0.1,1," USA, China",0,1,0,708237
kakushin,KKN,4000000,30000000,6/1/2018,9/30/2018,2018q2,121,Australia,"Investment,Platform",1,3.5,6,1,whitelist,7,0.5,1," China, USA",0,1,1,313018
nai,NAi,1000000,8000000,9/24/2018,1/23/2019,2018q3,121,UK,"Investment,Cryptocurrency,Businessservices,ArtificialIntelligence,Platform,SmartContract,Software",1,3.7,0,1,kyc,4,0.4,1," USA, China",1,1,0,2670000
natmin-pure-escrow,NAT,,12000000,9/1/2018,12/31/2018,2018q3,121,Australia,"Cryptocurrency,Businessservices,Banking,Internet,Other,Platform,Software",0,4.3,9,1,kyc,14,0.6,1, USA,0,1,0,9485000
local-token-exchange,LTE,1169800,22800454.82,8/31/2018,12/30/2018,2018q3,121,Spain,Platform,1,3.5,1,1,kyc&whitelist,10,0.58,1, USA,0,1,1,557052
sonocoin,SONO,13936250,75255750,8/1/2019,11/30/2019,2019q3,121,Switzerland,"Investment,Cryptocurrency,Businessservices,Banking,ArtificialIntelligence,SmartContract",0,3.9,0,0,kyc,5,0.55,1, USA,1,0,0,1206377
marketspace,GMC,,70000000,12/1/2018,4/1/2019,2018q4,121,Switzerland,,1,2.7,0,1,0,,0.55,,,1,1,0,3000000
voconetwork,VOCT,,,9/2/2018,1/1/2019,2018q3,121,Israel,"Platform,Cryptocurrency,Businessservices",1,3.2,1,0,kyc&whitelist,6,0.4,0, None,0,0,0,3524057
tixguru,TIX Ğ•Ñ‰Ğ»ÑƒÑ‚,4539200,27235200,7/1/2018,10/30/2018,2018q3,121,Singapore,Platform,1,2.5,1,1,whitelist,18,0.35,,,0,1,0,8431924
u-run-it,URUN,4000000,60000000,9/1/2018,12/31/2018,2018q3,121,Hong Kong,"Cryptocurrency,Casino&Gambling,Entertainment,Infrastructure,Internet,Other,Platform,SmartContract,Software,Sports",1,3.3,10,1,kyc,12,0.75,1," USA, China, Canada",0,1,0,10000000
start-waves,SWC,1500000,5000000,11/4/2019,3/4/2020,2019q4,121,Colombia,"Banking,BigData,Businessservices,Cryptocurrency,Investment,Platform,SmartContract",1,2.7,0,0,kyc,5,0.6,,,0,0,1,50000
era-swap-token,EST,,6239760.89,9/2/2018,12/31/2018,2018q3,120,Singapore,"Businessservices,Charity,Cryptocurrency,Education,Platform",1,3.4,10,1,kyc&whitelist,39,0.4285,,,0,1,0,218304
fidelity-house,FIH,50000000,500000000,12/14/2018,4/13/2019,2018q4,120,Switzerland,"Entertainment,Internet,Media",1,4.4,28,1,kyc,24,0.5,1," USA, China",0,1,0,3000000
kratos,TOS,5000000,55000000,9/1/2018,12/30/2018,2018q3,120,Singapore,Platform,1,3.5,0,0,kyc&whitelist,15,0.55,1, USA,0,1,0,5000000
moneytoken,IMT,3000000,35000000,2/7/2018,6/7/2018,2018q1,120,UK,"ArtificialIntelligence,Banking,Cryptocurrency,Platform,SmartContract",1,4.2,56,1,kyc&whitelist,8,0.45,,,0,1,0,37189195
gric,GC,1000000,25000000,12/1/2018,3/31/2019,2018q4,120,Nigeria,"Businessservices,Cryptocurrency,Investment,Manufacturing,Other",1,4,1,1,0,9,0.7,,,0,1,1,17114775
auxledger,XAL,,5000000,3/2/2019,6/30/2019,2019q1,120,United Arab Emirates,Infrastructure,1,3.5,0,0,kyc&whitelist,27,0.1,,,1,1,0,2140000
bitrent,RNTB,1632890,46654000,12/1/2017,3/31/2018,2017q4,120,UK,"Platform,Retail,Infrastructure,Realestate",1,3.4,9,0,0,19,0.7,0, None,0,1,0,14627210
bigtangle,BTT,,20000000,11/15/2018,3/15/2019,2018q4,120,Germany,"BigData,Cryptocurrency,Infrastructure,Platform,SmartContract,Software",1,3.1,2,0,0,11,0.55,1, USA,0,1,1,7200000
bit-game,BGX,904050,5424300,11/15/2018,3/15/2019,2018q4,120,Singapore,"Entertainment,Platform",1,3.1,2,1,kyc&whitelist,14,0.4,1," USA, China, Singapore",0,1,1,6652363
reportercommunity,NEWS,5032395,10064790,1/31/2018,5/31/2018,2018q1,120,Hungary,"Platform,Media,Communication,Businessservices,Software",0,3.7,7,1,whitelist,3,0.6,,,0,1,1,249
cryptocasher,CRR,1203840,12038400,11/2/2018,3/2/2019,2018q4,120,Estonia,"Cryptocurrency,Platform",1,2.9,3,1,kyc&whitelist,18,0.7,0," Hong Kong, North Korea, Iran, Syria",0,0,0,23341
lucyd,LCD,1500000,10000000,10/31/2017,2/28/2018,2017q4,120,Singapore,"Platform,Entertainment",1,3.5,10,1,0,6,,,,1,1,0,5500000
yunique,YQX,54243,117526.5,11/15/2018,3/15/2019,2018q4,120,Philippines,Cryptocurrency,1,2.9,0,0,kyc,5,0.6207,0, None,0,1,0,279
synthestech,STT,1000000,14000000,2/1/2018,5/31/2018,2018q1,119,Switzerland,"Energy,Investment",0,3.3,0,1,whitelist,4,0.79,0, China,1,1,0,737260
bitorb-exchange,ORBYT,1000000,20000000,6/3/2019,9/29/2019,2019q2,118,Singapore,Cryptocurrency,0,3,2,1,kyc&whitelist,,0.5,1," Singapore, Malaysia, USA, China",0,1,0,1515650
viva,VIVA,,12348913,7/20/2018,11/15/2018,2018q3,118,Bermuda,,1,3.7,4,1,kyc,16,0.75,1," USA, China",0,1,0,636511
urallowance,URA,100000,12217500,8/4/2018,11/30/2018,2018q3,118,USA,"Platform,Education",1,3.9,4,1,kyc,4,0.4,1, USA,0,1,0,115000
native-video-box,NVB,,15000000,1/1/2018,4/29/2018,2018q1,118,russia,Other,1,4.1,13,0,0,10,,,,0,1,0,9800000
iac-autounit,AutoToken (ATK),,50000000,3/26/2018,7/22/2018,2018q1,118,Russia,"Businessservices,Cryptocurrency,Investment",1,2.7,0,1,0,12,0.7,,,0,1,0,10690364
aunite,AUNIT,,,3/26/2018,7/22/2018,2018q1,118,Russia,Platform,1,2.8,0,1,0,12,0.7,,,0,0,0,10690364
auricoin,AURICOIN,40000000,80000000,11/23/2018,3/20/2019,2018q4,117,Liechtenstein,Banking,1,3.4,3,1,kyc,27,0.6,,,1,1,0,3865575
pollen-institute,LTS,676890,4512600,7/21/2019,11/15/2019,2019q3,117,Turkey,"Cryptocurrency,Investment,Software",1,3,2,0,0,4,1,,,0,1,0,600
bnktothefuture,BFT Token,,33000000,9/6/2017,12/31/2017,2017q3,116,Cayman Islands,Platform,1,3.2,0,0,0,8,0.33,,,0,1,0,33000000
superfruit,SFT,100000,3000000,6/18/2018,10/12/2018,2018q2,116,Chile,,1,2.9,0,1,kyc,6,,1," USA, China, South Korea",0,1,0,1000000
redcab,REDC,,11426098.78,6/22/2018,10/15/2018,2018q2,115,Egypt,"Businessservices,BigData,ArtificialIntelligence,Tourism,Platform",1,4.1,17,1,whitelist,12,0.62,1," USA, Egypt",0,1,1,2877240
ecoinomic,CNC,6000000,106000000,5/1/2018,8/24/2018,2018q2,115,Estonia,"Platform,Investment,Cryptocurrency,Banking",1,4,4,1,kyc&whitelist,30,0.74,0, no,0,1,1,47000000
a2b-taxi,TAXI,,50000000,3/7/2018,6/30/2018,2018q1,115,Lithuania,"Cryptocurrency,Platform",1,3.3,4,0,kyc&whitelist,10,0.5,,,1,1,1,1500000
gastro-advisor,FORK Token,1170000,26003250,3/8/2019,6/30/2019,2019q1,114,Switzerland,"Platform,Entertainment,Software",1,3.7,10,0,kyc,17,0.5,,,1,1,1,2000000
retn,RETN,130323,,12/7/2017,3/31/2018,2017q4,114,Seychelles,"Platform,Communication,Cryptocurrency,Retail",0,3.3,4,1,0,6,0.8,,,1,1,1,1300000
revenyou,YOU,695340,40561500,8/8/2018,11/30/2018,2018q3,114,Switzerland,"ArtificialIntelligence,Platform",0,2.1,0,1,kyc&whitelist,14,,,,0,0,0,700000
cryptobuyer,XPT,,6000000,5/9/2019,8/30/2019,2019q2,113,Panama,"Cryptocurrency,Infrastructure,Platform,Retail",1,4.4,14,1,kyc,12,0.6,1, USA,0,1,0,436800
dusk-network,DUSK,2000000,14400000,8/1/2018,11/22/2018,2018q3,113,Netherlands,"Communication,Cryptocurrency,Infrastructure,Other",1,3.6,1,0,kyc,7,0.5,1," Canada, North Korea, Ethiopia, Iran, Iraq, Serbia, Sri Lanka, Syria, Trinidad and Tobago, Tunisia, USA, Vanuatu, Yemen",0,1,1,8075557
etheera,ETA,,90343050,2/10/2018,6/3/2018,2018q1,113,Switzerland,"Platform,Realestate,Software",1,3.4,3,1,kyc,6,0.7,1," USA, China, Singapore",0,1,0,26615
gold-bits-coin,GBC,,,2/1/2018,5/25/2018,2018q1,113,Australia,"Cryptocurrency,Investment",1,2.4,0,1,whitelist,7,0.1,,,0,1,1,50000000
solarex,SRX,5000000,30000000,4/10/2019,7/31/2019,2019q2,112,UK,"Manufacturing,Infrastructure,Energy,Electronics,Cryptocurrency,Platform",1,3.8,10,1,kyc,18,0.56,,,0,1,1,2100000
dateat,DTE,3000000,23000000,6/5/2018,9/25/2018,2018q2,112,Singapore,"ArtificialIntelligence,BigData,Charity,Communication,Cryptocurrency,Investment,Media,Platform,SmartContract,Software",1,1.9,9,1,kyc,20,0.4,1, USA,0,1,1,18000000
war-field,GLDR,3000000,12000000,7/26/2018,11/15/2018,2018q3,112,United Arab Emirates,"Cryptocurrency,Entertainment,Internet,Platform,VirtualReality",1,3.7,0,0,kyc,9,0.7,1, USA,0,1,0,12000000
pluscoin-ico,PlusCoin,,,9/10/2017,12/31/2017,2017q3,112,Estonia,"Cryptocurrency,Platform",1,3,3,1,0,,0.4,,,0,1,0,4800000
joys,JOYS,5000000,50000000,6/21/2018,10/10/2018,2018q2,111,Russia,"Banking,Businessservices,Cryptocurrency,Retail",0,3.9,1,1,kyc,22,0.35,,,0,1,1,279850
exodius,EXO,,5325000,7/28/2018,11/16/2018,2018q3,111,French Polynesia,"Art,Electronics,Infrastructure,Investment,Legal,Sports,VirtualReality",0,2.7,0,0,0,6,0.55,0, None,1,1,1,10000000
sleecoin,SLEE,50000000,100000000,8/6/2018,11/25/2018,2018q3,111,UK,"Platform,Realestate",1,2.2,0,0,whitelist,7,0.5,1, USA,0,1,0,226712
tutellus,TUT,,22050000,6/12/2018,9/30/2018,2018q2,110,Spain,Education,1,3.7,3,0,kyc&whitelist,5,0.6,1," USA, China",0,1,0,22050000
winnest,WNC,3500000,20500000,11/15/2018,3/4/2019,2018q4,109,France,"Banking,Platform",1,4.4,16,1,kyc&whitelist,16,,,,1,1,0,4776404
able,ABLE,6016700,15041750,3/16/2018,7/3/2018,2018q1,109,Estonia,"Banking,Businessservices,Investment,Cryptocurrency",1,3,1,1,kyc&whitelist,10,0.6,,,0,1,1,480260
biocoin,BIO,,15000000,11/1/2017,2/18/2018,2017q4,109,Russia,Other,1,3.2,2,0,0,9,,,,0,1,0,16051025
sportyfi,SPF Token,1500000,16000000,8/21/2017,12/8/2017,2017q3,109,UK,Sports,1,2.6,0,0,0,12,0.67,,,0,0,0,5087896
bitozz,BOZZ,4000000,6340000,10/16/2018,2/1/2019,2018q4,108,Estonia,"Banking,Cryptocurrency,Investment,Platform",1,3.3,15,0,kyc,9,0.55,1," USA, China, India",0,1,1,5100000
earthbi,ERA,,48000000,4/9/2019,7/26/2019,2019q2,108,Estonia,Manufacturing,1,3.7,0,0,kyc,7,0.7958,,,0,1,0,1500000
bitcoinus,BITS,3000000,50000000,1/22/2018,5/10/2018,2018q1,108,UK,"Businessservices,Banking,Cryptocurrency,Other,Platform",1,3,23,1,0,8,0.77,,,0,1,0,20534500
genieico,CGC,,35000000,11/13/2017,2/28/2018,2017q4,107,Singapore,"Cryptocurrency,Platform,Investment",1,3.5,22,1,0,6,0.83,,,0,1,0,555000
crypto-coin-case,CCT Token,,4492800,8/15/2018,11/30/2018,2018q3,107,South Korea,Cryptocurrency,1,2,2,0,kyc,6,0.4,1," Canada, USA",0,1,0,1392768
vectorium-plus,VCTP,,,10/31/2019,2/15/2020,2019q4,107,Estonia,ArtificialIntelligence,0,3.8,1,1,0,8,0.66,,,1,1,1,8740000
fiancia-coin,FIN,,26166000,3/1/2018,6/15/2018,2018q1,106,UK,Investment,1,3.2,7,1,kyc&whitelist,11,,,,0,1,0,41285458
profede,PATO,1500000,20000000,6/1/2018,9/15/2018,2018q2,106,Estonia,"Businessservices,Communication,Cryptocurrency,Investment,Platform",1,3.9,23,0,kyc,6,0.5,,,0,1,0,10313000
binax,BIN,,6200000,3/15/2019,6/29/2019,2019q1,106,Malta,Cryptocurrency,1,2.3,0,0,kyc&whitelist,8,0.62,0," China, United State",0,1,0,6400000
makeitviral,MIV,92755.2,,7/18/2017,11/1/2017,2017q3,106,Italy,Entertainment,0,1.2,4,0,0,3,,,,0,1,0,9000
ipux,IPUX,8542100,48812000,1/15/2019,4/30/2019,2019q1,105,New Zealand,"ArtificialIntelligence,BigData,Businessservices,Realestate,Software",1,3.8,0,1,kyc&whitelist,4,0.4,1, USA,0,1,1,35000000
cryptoxygen,OXY2,3500000,30000000,1/15/2019,4/30/2019,2019q1,105,Estonia,"Investment,Electronics,Cryptocurrency,Businessservices,ArtificialIntelligence,Platform,SmartContract,Software",1,4.2,1,1,kyc,3,0.6,,,1,1,1,400000
musiclife,MITC,1000000,1200000,9/17/2018,12/31/2018,2018q3,105,Singapore,"Businessservices,Cryptocurrency,Internet,Investment,Media",1,4.2,4,1,kyc,6,0.02,0, China,1,1,0,6030000
